keys,en,ar
QUEST_1_NAME,Quest 1: Water,المهمة ١: الماء
QUEST_2_NAME,Quest 2: Earth,المهمة ٢: الأرض
QUEST_3_NAME,Quest 3: Pearls,المهمة ٣: اللؤلؤ
QUEST_4_NAME,Quest 4: Harvest,المهمة ٤: الحصاد
QUEST_5_NAME,Quest 5: Unity,المهمة ٥: الوحدة
QUEST_6_NAME,Quest 6: Memory,المهمة ٦: الذاكرة
QUEST_COMPLETED_LABEL,%s — Completed ✓,%s — مكتملة ✓
PRESS_E_TO_START,Press E to start %s,اضغط E لبدء %s
QUEST_FALLBACK,Quest %d,المهمة %d
ALL_QUESTS_COMPLETED,All quests completed,اكتملت جميع المهام
SEALS_MAX,Seals: 6/6,الأختام: 6/6
THE_END,The End,النهاية
SEALS_COUNT,Seals: %d/6,الأختام: %s/6
Q1_INSTRUCTIONS,"Draw a route from the Port (buildings with the anchor)
 to one of the landmarks!
 Make sure you stay between the lines.
 You have 3 tries","ارسم طريقاً من الميناء (المباني التي بها مرساة)
 إلى أحد المعالم!
 تأكد من البقاء بين الخطوط.
 لديك 3 محاولات"
Q1_FACT_1,Water was vital to Dilmun for farming and trade.,كان الماء ضرورياً لدلمون للزراعة والتجارة.
Q1_FACT_2,Dilmun thrived because of its freshwater springs.,ازدهرت دلمون بفضل ينابيعها العذبة.
Q1_FACT_3,Modern Bahrain stands where Dilmun once flourished.,تقوم البحرين الحديثة على أرض دلمون التي ازدهرت قديماً.
Q1_FACT_4,Canals helped connect inland springs to coastal settlements.,ساعدت القنوات في ربط الينابيع الداخلية بالمستوطنات الساحلية.
Q1_FACT_5,Freshwater supported date palms and early agriculture.,دعمت المياه العذبة أشجار النخيل والزراعة المبكرة.
Q1_FACT_6,Water routes strengthened trade by keeping communities supplied.,عززت مسارات المياه التجارة من خلال إمداد المجتمعات باحتياجاتها.
QUEST_COMPLETED,Quest Completed!,اكتملت المهمة!
Q1_FAIL_OUTSIDE,Tracing outside breaks the flow!,الرسم خارج الحدود يقطع التدفق!
Q1_FAIL_RESULT,"Quest Failed

%s

You ran out of tries.","فشلت المهمة

%s

لقد نفدت محاولاتك."
Q1_TRIES_LEFT,"%s
Tries left: %d/%d","%s
المحاولات المتبقية: %d/%d"
TRIES_LABEL,Tries: %d/%d,المحاولات: %d/%d
Q2_INTRO,"From the ruins of Tylos, this is a Lagynos Pottery.
It was used for serving and pouring drinks at gatherings.","من أنقاض تيلوس، هذه إناء فخاري لاجينوس.
كان يُستخدم لتقديم المشروبات وسكبها في التجمعات."
QUEST_COMPLETED_ALT,Quest Completed,اكتملت المهمة
QUEST_FAILED,Quest Failed,فشلت المهمة
TRY_AGAIN,Try again!,حاول مرة أخرى!
Q3_PEARLS_COLLECTED,You collected %d/%d pearls.,جمعت %d/%d لؤلؤة.
Q3_ALL_COLLECTED,All pearls collected!,تم جمع كل اللؤلؤ!
Q4_HARVEST_SCORE,Harvest: %d / %d,الحصاد: %s / %s
LIVES_LABEL,Lives: %d,الأرواح: %s
Q4_SPOILED,Spoiled fruit! -1 life,فاكهة فاسدة! -1 روح
Q4_WRONG_BASKET,Wrong basket! -1 life,السلة الخطأ! -1 روح
Q4_MISSED,You missed it! -1 life,فاتك! -1 روح
Q4_SPOILED_FELL,Spoiled fruit fell in! -1 life,سقطت فاكهة فاسدة! -1 روح
Q5_CM_1,What a kind thing to do!,يا له من عمل طيب!
Q5_CM_2,That's true honesty. Bless you.,هذه أمانة حقيقية. بارك الله فيك.
Q5_CM_3,You have a generous heart.,قلبك كريم.
Q5_CM_4,Fair and kind — that's the Dilmun way.,عادل ولطيف — هكذا كان أهل دلمون.
Q5_CM_5,You chose mercy over money. Good.,اخترت الرحمة على المال. أحسنت.
Q5_CM_6,That would earn trust in any market.,هذا يكسب الثقة في أي سوق.
Q5_CM_7,You did the right thing. Thank you.,فعلت الصواب. شكراً لك.
Q5_CM_8,Your kindness will return to you.,ستعود إليك لطفك يوماً ما.
Q5_CF_1,That's a good heart out at sea.,هذا قلب طيب في عرض البحر.
Q5_CF_2,You share when others would take. Respect.,تتشارك حين يأخذ الآخرون. احترام.
Q5_CF_3,That's how communities survive.,هكذا تعيش المجتمعات.
Q5_CF_4,You're the kind of crew I'd want.,أنت من طاقم البحارة الذين أريدهم.
Q5_CF_5,Good choice — the sea rewards the humble.,خيار جيد — البحر يكافئ المتواضعين.
Q5_CF_6,That was generous. Well done.,كان ذلك كرماً. أحسنت.
Q5_CF_7,"You helped, not judged. Nice.",ساعدت ولم تحكم. رائع.
Q5_CF_8,That's real strength — helping others.,هذه القوة الحقيقية — مساعدة الآخرين.
Q5_CS_1,Beautiful choice — you kept it gentle.,خيار جميل — حافظت على اللطف.
Q5_CS_2,That's wisdom. Words matter.,هذه حكمة. الكلمات مهمة.
Q5_CS_3,You made space for everyone. Well done.,أتحت المجال للجميع. أحسنت.
Q5_CS_4,"A kind story can heal, not harm.",القصة اللطيفة تشفي ولا تؤذي.
Q5_CS_5,That's how you keep peace in a crowd.,هكذا تحافظ على السلام بين الناس.
Q5_CS_6,You listened first — that's rare.,أنصتَّ أولاً — هذا نادر.
Q5_CS_7,You chose compassion. Excellent.,اخترت التعاطف. ممتاز.
Q5_CS_8,That's the mark of a good storyteller.,هذه علامة الراوي الجيد.
